 
00:00:00     device    %busy    avque    r+w/s    Kbs/s   avwait   avserv
00:10:00              hdisk4     21      0.0       18      660      0.0     61.8
00:10:00              hdisk5     21      0.0       19      522      0.1     62.2
00:10:00             hdisk17     21      0.0       18      524      0.0     60.5
00:10:00              hdisk9     21      0.0       18      536      0.0     62.6
00:10:00              hdisk7     21      0.0       18      605      0.0     61.0
00:10:00              hdisk8     21      0.0       19      617      0.1     62.5
00:10:00             hdisk10     21      0.0       18      628      0.1     62.4
00:10:00             hdisk19     21      0.0       18      553      0.0     61.9
00:10:00             hdisk12     21      0.0       18      587      0.0     61.8
00:10:00             hdisk16     21      0.0       18      588      0.0     61.0
00:10:00              hdisk6     21      0.0       19      570      0.0     62.2
00:10:00             hdisk18     21      0.0       18      571      0.0     62.8
00:10:00             hdisk15     21      0.0       19      524      0.1     63.5
00:10:00             hdisk20     21      0.0       19      574      0.0     65.5
00:10:00             hdisk11     21      0.0       18      655      0.0     62.8
00:10:00             hdisk21     21      0.0       18      504      0.0     61.1
00:10:00             hdisk14     21      0.0       19      597      0.0     62.9
00:10:00             hdisk24     21      0.0       18      523      0.3     63.1
00:10:00             hdisk27     21      0.0       19      539      0.1     64.6
00:10:00             hdisk22     21      0.0       19      526      0.0     62.2
00:10:00             hdisk13     21      0.0       19      530      0.0     62.7
00:10:00             hdisk31     21      0.0       18      540      0.2     63.0
00:10:00             hdisk23     21      0.0       18      570      0.1     62.1
00:10:00             hdisk26     21      0.0       18      518      0.1     62.3
00:10:00             hdisk35     21      0.0       18      533      0.0     62.5
00:10:00             hdisk28     21      0.0       18      563      0.1     67.0
00:10:00             hdisk29     21      0.0       18      684      0.0     63.1
00:10:00             hdisk32     21      0.0       18      508      0.0     62.9
00:10:00             hdisk30     21      0.0       18      625      0.1     63.1
00:10:00             hdisk37     22      0.0       18      622      0.3     65.7
00:10:00             hdisk34     21      0.0       18      511      0.2     66.2
00:10:00             hdisk36     21      0.0       18      558      0.0     60.4
00:10:00             hdisk33     21      0.0       18      613      0.0     60.0
00:10:00             hdisk40     21      0.0       19      551      0.3     63.9
00:10:00             hdisk38     21      0.0       18      528      0.0     64.4
00:10:00             hdisk46     21      0.0       18      545      0.2     66.4
00:10:00             hdisk42     21      0.0       18      577      0.0     66.2
00:10:00             hdisk43     21      0.0       18      555      0.0     64.1
00:10:00             hdisk47     21      0.0       18      631      0.0     65.0
00:10:00             hdisk49     21      0.0       18      593      0.0     64.0
00:10:00             hdisk41     21      0.0       18      540      0.0     65.3
00:10:00             hdisk51      0      0.0        0        0      0.0      0.0
00:10:00             hdisk44     22      0.0       19      589      0.1     63.6
00:10:00             hdisk50     21      0.0       18      550      0.0     66.5
00:10:00             hdisk48     21      0.0       19      712      0.1     63.5
00:10:00             hdisk52      0      0.0        0        0      0.0      0.0
00:10:00             hdisk39     21      0.0       18      537      0.1     62.0
00:10:00             hdisk45     21      0.0       18      479      0.0     64.0
00:10:00             hdisk54      0      0.0        0        0      0.0      0.5
